"Nom";"Inscrits";"Nuls";"Abst %";"Paoletti (PS)";"Juppé (UMP)"
"Hôtel-de-Ville A (Pey-Berland - Saint-Christoly)";1061;13;"43.54";"38.23";"61.77"
"Hôtel-de-Ville B (Hôtel-de-Ville - Gambetta)";996;20;"51.81";"46.09";"53.91"
"Vieux-Bordeaux A (Saint-Pierre)";1157;22;"49.52";"60.14";"39.86"
"Vieux-Bordeaux B (Saint-Rémi - Sainte-Catherine)";1041;8;"50.24";"53.73";"46.27"
"Malleret A (Delerme - Palais Gallien)";1092;22;"42.58";"38.68";"61.32"
"Malleret B (Saint-Seurin)";851;11;"43.60";"28.14";"71.86"
"Malleret C (Bas-Turenne)";1006;8;"44.73";"37.77";"62.23"
"Malleret D (Triangle-d'Or)";1027;18;"44.89";"25.00";"75.00"
"A.Barraud A (Capdeville)";1200;27;"40.92";"30.35";"69.65"
"A.Barraud B (Haut-Turenne)";969;11;"39.53";"35.83";"64.17"
"A.Barraud C (Renan)";900;11;"42.56";"33.60";"66.40"
"A.Barraud D (Sainte-Clotilde)";954;14;"38.99";"29.93";"70.07"
"A.Barraud E (Croix-Blanche - Wilson)";1102;12;"40.83";"27.50";"72.50"
"A.Barraud F (Mandel)";1039;14;"37.44";"27.67";"72.33"
"A.Barraud G (Lycée Camille-Jullian)";1022;18;"35.71";"27.86";"72.14"
"Saint-Bruno A (Mériadeck)";1146;24;"44.59";"36.01";"63.99"
"Saint-Bruno B (Piscine Judaïque)";1035;14;"38.65";"41.06";"58.94"
"Saint-Bruno C (Brach)";990;6;"43.94";"41.53";"58.47"
"P.Bert A (Rousselle)";1254;10;"50.32";"61.34";"38.66"
"P.Bert B (Musée d'Aquitaine - Palais des Sports)";1139;12;"45.04";"56.68";"43.32"
"P.Bert C (Belfort - République)";797;10;"51.95";"51.74";"48.26"
"P.Bert D (Belfort - Libération)";972;8;"47.22";"46.53";"53.47"
"A.Dupeux A (Mouneyra - Tondu)";1271;33;"39.89";"45.01";"54.99"
"A.Dupeux B (Tondu)";991;17;"39.05";"36.97";"63.03"
"A.Dupeux C (Xaintrailles)";1199;22;"39.37";"47.02";"52.98"
"A.Dupeux D (Leblanc)";973;24;"42.03";"45.74";"54.26"
"Saint-Augustin A (Clinique Saint-Augustin)";1068;19;"36.70";"42.77";"57.23"
"Saint-Augustin B (Cité des Pêcheurs)";914;16;"40.48";"36.74";"63.26"
"Saint-Augustin C (Eglise Saint-Augustin)";1215;23;"35.23";"40.31";"59.69"
"Saint-Augustin D (Chaban-Delmas - Pellegrin)";1088;16;"38.42";"31.80";"68.20"
"Loucheur A (Carayon-Latour)";1122;23;"39.04";"47.50";"52.50"
"Loucheur B (Loucheur)";1147;15;"40.10";"50.15";"49.85"
"Loucheur C (Charles Perrens)";922;13;"47.72";"56.50";"43.50"
"Menuts A (Montaigne - Leyteire)";749;12;"52.60";"65.60";"34.40"
"Menuts B (Maucaillou - Sauvageau)";1131;13;"46.77";"74.36";"25.64"
"Menuts C (Place Saint-Michel)";733;20;"48.02";"77.01";"22.99"
"Henri IV A (Pasteur)";876;9;"50.34";"51.41";"48.59"
"Sablières A (Millière - Victoire)";1021;19;"42.21";"49.21";"50.79"
"Sablières B (Saint-Nicolas - Bergonié)";1024;13;"42.29";"49.83";"50.17"
"Sablières C (Nansouty-centre)";1137;13;"44.24";"50.89";"49.11"
"Sablières D (Barrière-de-Toulouse)";824;16;"39.81";"38.54";"61.46"
"Sablières E (Saint-Genès)";799;18;"34.17";"37.80";"62.20"
"J.Prévert A (François Magendie)";781;11;"37.00";"28.07";"71.93"
"J.Prévert B (Prévert)";977;15;"37.97";"33.67";"66.33"
"J.Prévert C (Roosevelt)";729;18;"38.41";"39.21";"60.79"
"Nuits A (Mauriac)";748;17;"40.64";"57.61";"42.39"
"Nuits B (Sainte-Marie)";756;18;"42.06";"57.62";"42.38"
"Nuits C (Stalingrad)";692;13;"45.66";"49.04";"50.96"
"Nuyens A (Bastide-nord)";503;7;"45.33";"61.57";"38.43"
"Thiers A (Thiers)";571;9;"46.06";"63.55";"36.45"
"Thiers B (Stade)";767;23;"41.59";"59.53";"40.47"
"Benauge A (Jules Simon)";962;17;"41.16";"50.82";"49.18"
"Benauge B (Jean Dauget)";786;19;"43.64";"56.60";"43.40"
"Benauge C (Benauge)";953;12;"45.02";"56.05";"43.95"
;;846;;;
