"Nom";"Inscrits";"Nuls";"Abst %";"Delaunay (PS)";"Juppé (UMP)"
"Hôtel-de-Ville A (Pey-Berland - Saint-Christoly)";1302;18;"40.94";"44.47";"55.53"
"Hôtel-de-Ville B (Hôtel-de-Ville - Gambetta)";1165;12;"45.32";"52.48";"47.52"
"Vieux-Bordeaux A (Saint-Pierre)";1410;18;"47.94";"67.18";"32.82"
"Vieux-Bordeaux B (Saint-Rémi - Sainte-Catherine)";1267;5;"45.15";"58.55";"41.45"
"Malleret A (Delerme - Palais Gallien)";1231;21;"37.29";"41.54";"58.46"
"Malleret B (Saint-Seurin)";978;17;"39.57";"37.63";"62.37"
"Malleret C (Bas-Turenne)";1241;7;"43.59";"41.85";"58.15"
"Malleret D (Triangle-d'Or)";1207;16;"42.17";"29.91";"70.09"
"A.Barraud A (Capdeville)";1346;17;"36.18";"37.53";"62.47"
"A.Barraud B (Haut-Turenne)";990;16;"33.43";"47.59";"52.41"
"A.Barraud C (Renan)";973;12;"38.64";"35.04";"64.96"
"A.Barraud D (Sainte-Clotilde)";1138;16;"34.71";"30.54";"69.46"
"A.Barraud E (Croix-Blanche - Wilson)";1198;21;"31.39";"31.96";"68.04"
"A.Barraud F (Mandel)";1056;10;"32.58";"37.32";"62.68"
"A.Barraud G (Lycée Camille-Jullian)";1149;20;"30.46";"30.42";"69.58"
"Saint-Bruno A (Mériadeck)";1267;13;"38.44";"44.33";"55.67"
"Saint-Bruno B (Piscine Judaïque)";1145;13;"39.30";"49.12";"50.88"
"Saint-Bruno C (Brach)";1062;15;"36.44";"46.36";"53.64"
"P.Bert A (Rousselle)";1669;14;"44.52";"68.97";"31.03"
"P.Bert B (Musée d'Aquitaine - Palais des Sports)";1423;12;"45.12";"66.19";"33.81"
"P.Bert C (Belfort - République)";920;6;"46.63";"56.91";"43.09"
"P.Bert D (Belfort - Libération)";1122;12;"45.19";"49.92";"50.08"
"A.Dupeux A (Mouneyra - Tondu)";1446;24;"36.31";"50.50";"49.50"
"A.Dupeux B (Tondu)";1098;18;"34.24";"46.73";"53.27"
"A.Dupeux C (Xaintrailles)";1439;14;"39.19";"51.68";"48.32"
"A.Dupeux D (Leblanc)";1179;10;"39.10";"50.56";"49.44"
"Saint-Augustin A (Clinique Saint-Augustin)";1138;16;"31.81";"48.95";"51.05"
"Saint-Augustin B (Cité des Pêcheurs)";1003;17;"34.80";"41.29";"58.71"
"Saint-Augustin C (Eglise Saint-Augustin)";1364;22;"30.57";"42.81";"57.19"
"Saint-Augustin D (Chaban-Delmas - Pellegrin)";1119;17;"37.09";"36.97";"63.03"
"Loucheur A (Carayon-Latour)";1186;10;"35.08";"50.92";"49.08"
"Loucheur B (Loucheur)";1289;17;"38.79";"60.88";"39.12"
"Loucheur C (Charles Perrens)";1064;15;"41.45";"57.24";"42.76"
"Menuts A (Montaigne - Leyteire)";984;9;"48.98";"73.43";"26.57"
"Menuts B (Maucaillou - Sauvageau)";1367;12;"43.09";"81.59";"18.41"
"Menuts C (Place Saint-Michel)";977;11;"44.32";"80.86";"19.14"
"Henri IV A (Pasteur)";1070;9;"46.63";"58.90";"41.10"
"Sablières A (Millière - Victoire)";1292;20;"40.48";"57.28";"42.72"
"Sablières B (Saint-Nicolas - Bergonié)";1291;15;"40.05";"61.53";"38.47"
"Sablières C (Nansouty-centre)";1251;9;"40.21";"58.19";"41.81"
"Sablières D (Barrière-de-Toulouse)";913;9;"34.61";"48.81";"51.19"
"Sablières E (Saint-Genès)";897;16;"31.33";"39.83";"60.17"
"J.Prévert A (François Magendie)";820;18;"33.90";"33.02";"66.98"
"J.Prévert B (Prévert)";1207;28;"35.13";"42.65";"57.35"
"J.Prévert C (Roosevelt)";839;10;"35.52";"47.08";"52.92"
"Nuits A (Mauriac)";795;5;"36.98";"61.29";"38.71"
"Nuits B (Sainte-Marie)";813;8;"33.95";"60.87";"39.13"
"Nuits C (Stalingrad)";914;13;"41.36";"60.23";"39.77"
"Nuyens A (Bastide-nord)";934;7;"35.22";"57.86";"42.14"
"Thiers A (Thiers)";649;7;"37.75";"68.77";"31.23"
"Thiers B (Stade)";786;13;"37.66";"59.96";"40.04"
"Benauge A (Jules Simon)";1010;16;"34.65";"56.06";"43.94"
"Benauge B (Jean Dauget)";874;7;"43.02";"63.54";"36.46"
"Benauge C (Benauge)";1062;13;"43.97";"64.09";"35.91"
;;746;;;
